beer_name,count,mean,beer_abv
Hoppy Birthday,65,4.552153846153847,5.3
Ashy Cynic,18,4.543333333333333,6.7
Founders Syrup Del Noche,12,4.501666666666666,7.5
Simcoe Pale Ale,17,4.462941176470588,5.9
Civil Disobedience #1,16,4.455,7.0
Black Marlin Porter With Cocoa Nibs,30,4.452,6.0
SuperShow 69,18,4.45,6.9
Columbus Pale Ale,16,4.439375000000001,6.0
Everett Robust Porter,89,4.437528089887641,7.5
Three Hour Tour,57,4.430877192982454,6.1
Big Ticket Double IPA,10,4.425,7.6
Sculpin India Pale Ale,8112,4.417884615384545,7.0
Black Marlin Porter (Special Sour Version),12,4.415,5.5
Masala Mama India Pale Ale,662,4.402764350453176,5.9
Hill Farmstead Nelson Sauvin IPA,11,4.4,5.5
RPM IPA,40,4.394500000000002,7.5
Triple Play IPA,16,4.393749999999999,6.0
Imperial Coconut Porter,11,4.386363636363637,7.9
King's Slipper,12,4.3741666666666665,6.2
Great Lakes Honey Ale,18,4.366666666666667,7.5
Melrose IPA,13,4.366153846153846,7.2
Event Horizon Cascadian Dark Ale,22,4.362727272727272,7.0
Hill Farmstead Citra IPA,26,4.360769230769231,5.5
Allagash Coolship Red,28,4.3549999999999995,5.7
O'Brien's IPA,53,4.352641509433962,6.2
