reviewer,corr_variable,corr
mikesgroove,review_aroma,0.781106483080678
mikesgroove,review_appearance,0.6618115952234047
mikesgroove,review_palate,0.8060279546799203
mikesgroove,review_taste,0.8654381980499587
Thorpe429,review_aroma,0.774818159702214
Thorpe429,review_appearance,0.5266998186814272
Thorpe429,review_palate,0.824876204174525
Thorpe429,review_taste,0.8528804094584104
BuckeyeNation,review_aroma,0.7855767616201111
BuckeyeNation,review_appearance,0.6360534404407563
BuckeyeNation,review_palate,0.8159483545094175
BuckeyeNation,review_taste,0.9192048445684238
womencantsail,review_aroma,0.794745245560468
womencantsail,review_appearance,0.4601435237151082
womencantsail,review_palate,0.6732537488066476
womencantsail,review_taste,0.8742660738485178
northyorksammy,review_aroma,0.37857139088347475
northyorksammy,review_appearance,0.3048740755387056
northyorksammy,review_palate,0.5814436846650595
northyorksammy,review_taste,0.6867772077257804
brentk56,review_aroma,0.5791344574522315
brentk56,review_appearance,0.389529245363258
brentk56,review_palate,0.6378179771224785
brentk56,review_taste,0.862607840835773
feloniousmonk,review_aroma,0.5413009788963415
feloniousmonk,review_appearance,0.5175444875576428
feloniousmonk,review_palate,0.6732372937082622
feloniousmonk,review_taste,0.6582360118200002
akorsak,review_aroma,0.470637668935851
akorsak,review_appearance,0.32382869257933455
akorsak,review_palate,0.7344751246297954
akorsak,review_taste,0.6512617811846366
ChainGangGuy,review_aroma,0.7288221213526643
ChainGangGuy,review_appearance,0.4954627036612897
ChainGangGuy,review_palate,0.714552434596006
ChainGangGuy,review_taste,0.8269747898830319
WesWes,review_aroma,0.6453921649340488
WesWes,review_appearance,0.46681192217645945
WesWes,review_palate,0.6717683408624276
WesWes,review_taste,0.7999050000152955
TheManiacalOne,review_aroma,0.7352237330739637
TheManiacalOne,review_appearance,0.650321919750482
TheManiacalOne,review_palate,0.8024180675136566
TheManiacalOne,review_taste,0.894957671375239
BEERchitect,review_aroma,0.7440808555254106
BEERchitect,review_appearance,0.6818104943912985
BEERchitect,review_palate,0.8250664330147337
BEERchitect,review_taste,0.8348517312282336
HopHead84,review_aroma,0.7577223953027657
HopHead84,review_appearance,0.5518536416143128
HopHead84,review_palate,0.6852419894739239
HopHead84,review_taste,0.8411367701678213
Kegatron,review_aroma,0.6353794341589725
Kegatron,review_appearance,0.41099302325037423
Kegatron,review_palate,0.582597258330334
Kegatron,review_taste,0.6800049463938745
tempest,review_aroma,0.5068620229577999
tempest,review_appearance,0.2412517903183505
tempest,review_palate,0.6739901654345916
tempest,review_taste,0.6650235864539058
zeff80,review_aroma,0.7055128896497059
zeff80,review_appearance,0.5500599823691039
zeff80,review_palate,0.6709417283339797
zeff80,review_taste,0.8260228700045045
Bighuge,review_aroma,0.6967852203483879
Bighuge,review_appearance,0.6264620167752155
Bighuge,review_palate,0.8801605388469929
Bighuge,review_taste,0.9210897468158286
russpowell,review_aroma,0.3132870385569661
russpowell,review_appearance,0.2558069738895029
russpowell,review_palate,0.6310709447588356
russpowell,review_taste,0.7247023376394208
Wasatch,review_aroma,0.8564771697319713
Wasatch,review_appearance,0.7722393513294181
Wasatch,review_palate,0.9031807025123324
Wasatch,review_taste,0.9694363606173944
WVbeergeek,review_aroma,0.7216707621921846
WVbeergeek,review_appearance,0.6978459718919388
WVbeergeek,review_palate,0.8585821731032015
WVbeergeek,review_taste,0.8739242866676834
Gueuzedude,review_aroma,0.580919230617982
Gueuzedude,review_appearance,0.2860529023870208
Gueuzedude,review_palate,0.5515520424921507
Gueuzedude,review_taste,0.7105405434017596
drabmuh,review_aroma,0.5833632432169363
drabmuh,review_appearance,0.343912677224598
drabmuh,review_palate,0.8073403636868001
drabmuh,review_taste,0.8036931261230615
mothman,review_aroma,0.7767193173757608
mothman,review_appearance,0.5988067397689496
mothman,review_palate,0.780363532147678
mothman,review_taste,0.866778950237734
oberon,review_aroma,0.34284363685648117
oberon,review_appearance,0.2145179567120713
oberon,review_palate,0.3618331692484806
oberon,review_taste,0.5403391662641337
Halcyondays,review_aroma,0.3857570959138272
Halcyondays,review_appearance,0.27578733964806373
Halcyondays,review_palate,0.5166654844951931
Halcyondays,review_taste,0.7175450739092409
NeroFiddled,review_aroma,0.5634503323680041
NeroFiddled,review_appearance,0.4407120011303296
NeroFiddled,review_palate,0.6089241065162082
NeroFiddled,review_taste,0.741591487801012
jwc215,review_aroma,0.6721780589726477
jwc215,review_appearance,0.5146602275303451
jwc215,review_palate,0.7742421168377766
jwc215,review_taste,0.8119076770581802
Gavage,review_aroma,0.34242444688039264
Gavage,review_appearance,0.4622486055940241
Gavage,review_palate,0.6179719279676331
Gavage,review_taste,0.7224950996365487
glid02,review_aroma,0.6678526464431753
glid02,review_appearance,0.4685032480923097
glid02,review_palate,0.4729997808607624
glid02,review_taste,0.7370925231808357
Billolick,review_aroma,0.5570177765311021
Billolick,review_appearance,0.49015490597707995
Billolick,review_palate,0.5735385533282482
Billolick,review_taste,0.7512752344266317
Mora2000,review_aroma,0.737594013221887
Mora2000,review_appearance,0.6559756516527366
Mora2000,review_palate,0.7585509272150768
Mora2000,review_taste,0.7822814674650049
barleywinefiend,review_aroma,0.7322519354714503
barleywinefiend,review_appearance,0.42910870093301656
barleywinefiend,review_palate,0.8983975969045235
barleywinefiend,review_taste,0.8956832889099199
weeare138,review_aroma,0.7009203343982955
weeare138,review_appearance,0.49669231755539484
weeare138,review_palate,0.7579569144147619
weeare138,review_taste,0.7633466598010595
ppoitras,review_aroma,0.45809921991631547
ppoitras,review_appearance,0.2833370484799063
ppoitras,review_palate,0.8420800322993094
ppoitras,review_taste,0.8178195051337139
TMoney2591,review_aroma,0.650485663514904
TMoney2591,review_appearance,0.5480043067767421
TMoney2591,review_palate,0.6822062902263634
TMoney2591,review_taste,0.8040021439373312
mdfb79,review_aroma,0.7477072996068062
mdfb79,review_appearance,0.3853105090711914
mdfb79,review_palate,0.49600983021762557
mdfb79,review_taste,0.8002892019317451
hopdog,review_aroma,0.8322995105269064
hopdog,review_appearance,0.7157325255796821
hopdog,review_palate,0.8127213179516091
hopdog,review_taste,0.8508923083288892
MasterSki,review_aroma,0.7213112814165582
MasterSki,review_appearance,0.34222677594667766
MasterSki,review_palate,0.5978976892685989
MasterSki,review_taste,0.7665434068751923
smcolw,review_aroma,0.5446741032571603
smcolw,review_appearance,0.32649878223234086
smcolw,review_palate,0.4413013097100127
smcolw,review_taste,0.8096216197875813
emerge077,review_aroma,0.5691038182885464
emerge077,review_appearance,0.4034043673356408
emerge077,review_palate,0.6649915138501238
