state,count,mean,state_code
Kansas,132,4.11,KS
Minnesota,19380,4.1,MN
Michigan,83054,4.03,MI
Oregon,14889,4.03,OR
Virginia,7578,4.0,VA
Alabama,328,4.0,AL
Illinois,21491,4.0,IL
California,81833,4.0,CA
Nebraska,6144,3.98,NE
Maine,8982,3.98,ME
Florida,7373,3.97,FL
New York,38440,3.93,NY
Delaware,33892,3.92,DE
Georgia,109,3.92,GA
South Carolina,1749,3.91,SC
Alaska,3651,3.87,AK
Pennsylvania,4709,3.84,PA
Connecticut,253,3.82,CT
Ohio,71603,3.81,OH
Washington,5782,3.8,WA
Colorado,28979,3.8,CO
West Virginia,41,3.79,WV
New Mexico,23,3.78,NM
North Carolina,2531,3.78,NC
Iowa,266,3.77,IA
Massachusetts,19437,3.77,MA
North Dakota,6,3.74,ND
Maryland,19607,3.73,MD
Montana,3179,3.72,MT
Indiana,1290,3.72,IN
New Jersey,2645,3.71,NJ
Idaho,1224,3.71,ID
District of Columbia,59,3.7,DC
Nevada,448,3.7,NV
Vermont,12234,3.69,VT
Arizona,797,3.68,AZ
Mississippi,630,3.67,MS
Hawaii,4048,3.65,HI
Wyoming,20,3.62,WY
New Hampshire,1514,3.6,NH
Wisconsin,12923,3.59,WI
Rhode Island,313,3.58,RI
Utah,1052,3.57,UT
Kentucky,588,3.57,KY
Texas,7528,3.55,TX
Arkansas,276,3.52,AR
South Dakota,92,3.5,SD
Tennessee,237,3.49,TN
Louisiana,4991,3.45,LA
Oklahoma,100,3.09,OK
Missouri,25067,3.07,MO
