beer_name,count,mean,beer_abv
Rare Bourbon County Stout,249,4.649317269076304,13.0
Green Flash Bourbon Barrel Aged Double Stout,14,4.641428571428571,8.9
Founders CBS Imperial Stout,1274,4.61634222919938,10.6
Three Sheets Barley Wine,12,4.599999999999999,10.0
Notorius IPA3,22,4.592727272727274,12.0
Sea Monster (3 Sheets Rum Oak Chip Aged),12,4.585000000000001,10.0
King Henry,98,4.573979591836739,13.4
AleSmith Speedway Stout - Kopi Luwak,23,4.568260869565217,12.0
Wooden Hell,76,4.553289473684213,9.5
Imperial Eclipse Stout - Pappy Van Winkle,49,4.550408163265307,9.5
Royal Oil,15,4.542666666666666,12.5
Galaxy Imperial Single Hop IPA,76,4.5424999999999995,8.0
Founders KBS (Kentucky Breakfast Stout),3864,4.537520703933757,11.2
Darkness - Bourbon Barrel Aged,30,4.532666666666667,10.3
Double Sunshine IPA,85,4.531647058823531,8.0
Marshal Zhukov's Imperial Stout - Zhukov's Final Push,19,4.525263157894737,11.5
The Abyss,1412,4.518746458923508,11.0
Samuel Adams Millennium,22,4.517272727272727,21.0
Birth Of Tragedy,29,4.515517241379311,11.0
Russian Roulette,12,4.509166666666666,9.3
Bourbon County Brand Coffee Stout,456,4.508026315789474,13.0
Hunahpu's Imperial Stout - Laird's Apple Brandy Barrel,63,4.503333333333332,11.5
Bell's Black Note Stout,130,4.500846153846154,11.5
Hunahpu's Imperial Stout - Rum Barrel Aged,18,4.485555555555555,11.5
Hunahpu's Imperial Stout,429,4.473916083916088,11.5
